DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2018-01-15	29228715	Hofer P	2017-10-09	Oncotarget	www.ncbi.nlm.nih.gov/pubmed/29228715	Bayesian and frequentist analysis of an Austrian genome-wide association study of colorectal cancer and advanced adenomas.	Colonoscopy-negative controls vs population controls	855 Austrian ancestry colonoscopy-negative controls, 3,439 European ancestry controls	NA	16q23.1	16	78895416	Intergenic	WWOX			ENSG00000186153			rs1124356-?	rs1124356	0	1124356	non_coding_transcript_exon_variant	0	NR	4E-6	5.3979400086720375		1.354	[NR]	Affymetrix [492217] (imputed)	N
2018-01-15	29228715	Hofer P	2017-10-09	Oncotarget	www.ncbi.nlm.nih.gov/pubmed/29228715	Bayesian and frequentist analysis of an Austrian genome-wide association study of colorectal cancer and advanced adenomas.	Colonoscopy-negative controls vs population controls	855 Austrian ancestry colonoscopy-negative controls, 3,439 European ancestry controls	NA	21q11.2	21	13297610	Intergenic	NA - FGF7P2		ENSG00000185390			51655	rs1148737-?	rs1148737	0	1148737	intergenic_variant	1	NR	2E-6	5.698970004336019		1.369	[NR]	Affymetrix [492217] (imputed)	N
2018-01-15	29228715	Hofer P	2017-10-09	Oncotarget	www.ncbi.nlm.nih.gov/pubmed/29228715	Bayesian and frequentist analysis of an Austrian genome-wide association study of colorectal cancer and advanced adenomas.	Colonoscopy-negative controls vs population controls	855 Austrian ancestry colonoscopy-negative controls, 3,439 European ancestry controls	NA	14q24.3	14	78114374	Intergenic	FXNP1 - NRXN3	ENSG00000258421	ENSG00000021645		54096	55999	rs11627061-?	rs11627061	0	11627061	intergenic_variant	1	NR	4E-6	5.3979400086720375		2.19	[NR]	Affymetrix [492217] (imputed)	N
2018-01-15	29228715	Hofer P	2017-10-09	Oncotarget	www.ncbi.nlm.nih.gov/pubmed/29228715	Bayesian and frequentist analysis of an Austrian genome-wide association study of colorectal cancer and advanced adenomas.	Colonoscopy-negative controls vs population controls	855 Austrian ancestry colonoscopy-negative controls, 3,439 European ancestry controls	NA	2p21	2	46196308	Intergenic	PRKCE - RPL36AP14	ENSG00000171132	ENSG00000233335		8318	60552	rs11694459-?	rs11694459	0	11694459	regulatory_region_variant	1	NR	8E-6	5.096910013008056		2.2153301	[NR]	Affymetrix [492217] (imputed)	N
2018-01-15	29228715	Hofer P	2017-10-09	Oncotarget	www.ncbi.nlm.nih.gov/pubmed/29228715	Bayesian and frequentist analysis of an Austrian genome-wide association study of colorectal cancer and advanced adenomas.	Colonoscopy-negative controls vs population controls	855 Austrian ancestry colonoscopy-negative controls, 3,439 European ancestry controls	NA	5q33.3	5	159837668	Intergenic	LINC01847			ENSG00000253311			rs11750868-?	rs11750868	0	11750868	intron_variant	0	NR	3E-6	5.522878745280337		1.466	[NR]	Affymetrix [492217] (imputed)	N
2018-01-15	29228715	Hofer P	2017-10-09	Oncotarget	www.ncbi.nlm.nih.gov/pubmed/29228715	Bayesian and frequentist analysis of an Austrian genome-wide association study of colorectal cancer and advanced adenomas.	Colonoscopy-negative controls vs population controls	855 Austrian ancestry colonoscopy-negative controls, 3,439 European ancestry controls	NA	10q25.1	10	105317514	Intergenic	SORCS3 - NA	ENSG00000156395			52272		rs11818462-?	rs11818462	0	11818462	intergenic_variant	1	NR	8E-6	5.096910013008056		1.6753225	[NR]	Affymetrix [492217] (imputed)	N
2018-01-15	29228715	Hofer P	2017-10-09	Oncotarget	www.ncbi.nlm.nih.gov/pubmed/29228715	Bayesian and frequentist analysis of an Austrian genome-wide association study of colorectal cancer and advanced adenomas.	Colonoscopy-negative controls vs population controls	855 Austrian ancestry colonoscopy-negative controls, 3,439 European ancestry controls	NA	1q41	1	216755177	Intergenic	ESRRG			ENSG00000196482			rs12126082-?	rs12126082	0	12126082	intron_variant	0	NR	9E-7	6.045757490560675		1.573	[NR]	Affymetrix [492217] (imputed)	N
2018-01-15	29228715	Hofer P	2017-10-09	Oncotarget	www.ncbi.nlm.nih.gov/pubmed/29228715	Bayesian and frequentist analysis of an Austrian genome-wide association study of colorectal cancer and advanced adenomas.	Colonoscopy-negative controls vs population controls	855 Austrian ancestry colonoscopy-negative controls, 3,439 European ancestry controls	NA	1q25.3	1	184482448	Intergenic	C1orf21			ENSG00000116667			rs12136737-?	rs12136737	0	12136737	intron_variant	0	NR	1E-6	6.0		2.667378	[NR]	Affymetrix [492217] (imputed)	N
2018-01-15	29228715	Hofer P	2017-10-09	Oncotarget	www.ncbi.nlm.nih.gov/pubmed/29228715	Bayesian and frequentist analysis of an Austrian genome-wide association study of colorectal cancer and advanced adenomas.	Colonoscopy-negative controls vs population controls	855 Austrian ancestry colonoscopy-negative controls, 3,439 European ancestry controls	NA	6q16.3	6	102078632	Intergenic	GRIK2			ENSG00000164418			rs12190843-?	rs12190843	0	12190843	intron_variant	0	NR	8E-6	5.096910013008056		1.656	[NR]	Affymetrix [492217] (imputed)	N
2018-01-15	29228715	Hofer P	2017-10-09	Oncotarget	www.ncbi.nlm.nih.gov/pubmed/29228715	Bayesian and frequentist analysis of an Austrian genome-wide association study of colorectal cancer and advanced adenomas.	Colonoscopy-negative controls vs population controls	855 Austrian ancestry colonoscopy-negative controls, 3,439 European ancestry controls	NA	6q22.31	6	120050842	Intergenic	MIR3144 - NA	ENSG00000265725			35585		rs12198456-?	rs12198456	0	12198456	intergenic_variant	1	NR	2E-7	6.698970004336019		2.909	[NR]	Affymetrix [492217] (imputed)	N
