DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2017-02-24	27416945	Walford GA	2016-07-14	Diabetes	www.ncbi.nlm.nih.gov/pubmed/27416945	Genome-Wide Association Study of the Modified Stumvoll Insulin Sensitivity Index Identifies BCL2 and FAM19A2 as Novel Insulin Sensitivity Loci.	Modified Stumvoll Insulin Sensitivity Index (BMI interaction)	16,753 European ancestry individuals	13,354 European ancestry individuals	2q36.3	2	226146604	NYAP2							rs13422522-C	rs13422522	0	13422522.0	intergenic_variant	1.0	0.77	9e-11	10.045757490560677		0.005674	[0.0014-0.01] unit decrease	Affymetrix, Illumina [up to 2400000] (imputed)	N
2017-02-24	27416945	Walford GA	2016-07-14	Diabetes	www.ncbi.nlm.nih.gov/pubmed/27416945	Genome-Wide Association Study of the Modified Stumvoll Insulin Sensitivity Index Identifies BCL2 and FAM19A2 as Novel Insulin Sensitivity Loci.	Modified Stumvoll Insulin Sensitivity Index (BMI interaction)	16,753 European ancestry individuals	13,354 European ancestry individuals	16p12.3	16	20308765	GP2	SNRPEP3 - GP2	ENSG00000227624	ENSG00000169347		69518.0	809.0	rs4078023-T	rs4078023	0	4078023.0	intergenic_variant	1.0	0.98	3e-07	6.522878745280337		0.03292	[0.02-0.045] unit decrease	Affymetrix, Illumina [up to 2400000] (imputed)	N
2017-02-24	27416945	Walford GA	2016-07-14	Diabetes	www.ncbi.nlm.nih.gov/pubmed/27416945	Genome-Wide Association Study of the Modified Stumvoll Insulin Sensitivity Index Identifies BCL2 and FAM19A2 as Novel Insulin Sensitivity Loci.	Modified Stumvoll Insulin Sensitivity Index (BMI interaction)	16,753 European ancestry individuals	13,354 European ancestry individuals	8q12.1	8	59061616	TOX	TOX			ENSG00000198846			rs16924527-A	rs16924527	0	16924527.0	intron_variant	0.0	0.02	4e-06	5.3979400086720375		0.007825	[-0.00229-0.01794] unit increase	Affymetrix, Illumina [up to 2400000] (imputed)	N
2017-02-24	27416945	Walford GA	2016-07-14	Diabetes	www.ncbi.nlm.nih.gov/pubmed/27416945	Genome-Wide Association Study of the Modified Stumvoll Insulin Sensitivity Index Identifies BCL2 and FAM19A2 as Novel Insulin Sensitivity Loci.	Modified Stumvoll Insulin Sensitivity Index (BMI interaction)	16,753 European ancestry individuals	13,354 European ancestry individuals	20q11.23	20	38655427	ARHGAP40	ARHGAP40 - Metazoa_SRP	ENSG00000124143	ENSG00000276525		4392.0	56394.0	rs6027072-A	rs6027072	0	6027072.0	intergenic_variant	1.0	0.03	4e-09	8.397940008672037		0.0184	[0.0095-0.0273] unit increase	Affymetrix, Illumina [up to 2400000] (imputed)	N
2017-02-24	27416945	Walford GA	2016-07-14	Diabetes	www.ncbi.nlm.nih.gov/pubmed/27416945	Genome-Wide Association Study of the Modified Stumvoll Insulin Sensitivity Index Identifies BCL2 and FAM19A2 as Novel Insulin Sensitivity Loci.	Modified Stumvoll Insulin Sensitivity Index (BMI interaction)	16,753 European ancestry individuals	13,354 European ancestry individuals	18q21.33	18	63178651	BCL2	BCL2			ENSG00000171791			rs12454712-T	rs12454712	0	12454712.0	intron_variant	0.0	0.58	3e-08	7.522878745280337		0.00336	[-0.00081-0.00753] unit decrease	Affymetrix, Illumina [up to 2400000] (imputed)	N
2017-02-24	27416945	Walford GA	2016-07-14	Diabetes	www.ncbi.nlm.nih.gov/pubmed/27416945	Genome-Wide Association Study of the Modified Stumvoll Insulin Sensitivity Index Identifies BCL2 and FAM19A2 as Novel Insulin Sensitivity Loci.	Modified Stumvoll Insulin Sensitivity Index (BMI interaction)	16,753 European ancestry individuals	13,354 European ancestry individuals	12q14.1	12	61094991	FAM19A2							rs10506418-A	rs10506418	0	10506418.0	intergenic_variant	1.0	0.03	2e-08	7.698970004336019		0.0261	[0.016-0.036] unit increase	Affymetrix, Illumina [up to 2400000] (imputed)	N
2017-02-24	27416945	Walford GA	2016-07-14	Diabetes	www.ncbi.nlm.nih.gov/pubmed/27416945	Genome-Wide Association Study of the Modified Stumvoll Insulin Sensitivity Index Identifies BCL2 and FAM19A2 as Novel Insulin Sensitivity Loci.	Modified Stumvoll Insulin Sensitivity Index (BMI interaction)	16,753 European ancestry individuals	13,354 European ancestry individuals	1p31.1	1	79780335	ELTD1							rs1857095-T	rs1857095	0	1857095.0	intergenic_variant	1.0	0.98	8e-09	8.096910013008056		0.000282	[-0.00881-0.00938] unit decrease	Affymetrix, Illumina [up to 2400000] (imputed)	N
2017-02-24	27416945	Walford GA	2016-07-14	Diabetes	www.ncbi.nlm.nih.gov/pubmed/27416945	Genome-Wide Association Study of the Modified Stumvoll Insulin Sensitivity Index Identifies BCL2 and FAM19A2 as Novel Insulin Sensitivity Loci.	Modified Stumvoll Insulin Sensitivity Index (BMI interaction)	16,753 European ancestry individuals	13,354 European ancestry individuals	13q12.11	13	21758683	FGF9	FGF9 - RN7SL766P	ENSG00000102678	ENSG00000244197		54185.0	31854.0	rs12583553-A	rs12583553	0	12583553.0	intergenic_variant	1.0	0.97	4e-09	8.397940008672037		0.02395	[0.015-0.033] unit decrease	Affymetrix, Illumina [up to 2400000] (imputed)	N
2017-02-24	27416945	Walford GA	2016-07-14	Diabetes	www.ncbi.nlm.nih.gov/pubmed/27416945	Genome-Wide Association Study of the Modified Stumvoll Insulin Sensitivity Index Identifies BCL2 and FAM19A2 as Novel Insulin Sensitivity Loci.	Modified Stumvoll Insulin Sensitivity Index (BMI interaction)	16,753 European ancestry individuals	13,354 European ancestry individuals	22q12.3	22	34739115	ISX	NA - LINC02885		ENSG00000286592			17561.0	rs10483182-A	rs10483182	0	10483182.0	intergenic_variant	1.0	0.01	8e-12	11.096910013008056		0.04803	[0.034-0.062] unit increase	Affymetrix, Illumina [up to 2400000] (imputed)	N
2017-02-24	27416945	Walford GA	2016-07-14	Diabetes	www.ncbi.nlm.nih.gov/pubmed/27416945	Genome-Wide Association Study of the Modified Stumvoll Insulin Sensitivity Index Identifies BCL2 and FAM19A2 as Novel Insulin Sensitivity Loci.	Modified Stumvoll Insulin Sensitivity Index (BMI interaction)	16,753 European ancestry individuals	13,354 European ancestry individuals	15q25.3	15	86710303	AGBL1	AGBL1			ENSG00000273540			rs10520638-T	rs10520638	0	10520638.0	intron_variant	0.0	0.01	1e-07	7.0		0.03605	[0.023-0.049] unit decrease	Affymetrix, Illumina [up to 2400000] (imputed)	N
