DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2017-10-20	28935272	Moore KN	2017-09-18	Gynecol Oncol	www.ncbi.nlm.nih.gov/pubmed/28935272	Genome-wide association study evaluating single-nucleotide polymorphisms and outcomes in patients with advanced stage serous ovarian or primary peritoneal cancer: An NRG Oncology/Gynecologic Oncology Group study.	Progression free survival in serous epithelial ovarian cancer treated with carboplatin and paclitaxel	147 European ancestry women	NA	11q14.1	11	78008566	intergenic	INTS4 - KCTD14	ENSG00000149262	ENSG00000151364		13895	7149	rs10899426-?	rs10899426	0	10899426	intergenic_variant	1	NR	2E-7	6.698970004336019		2.74		Illumina [636555]	N
2017-10-20	28935272	Moore KN	2017-09-18	Gynecol Oncol	www.ncbi.nlm.nih.gov/pubmed/28935272	Genome-wide association study evaluating single-nucleotide polymorphisms and outcomes in patients with advanced stage serous ovarian or primary peritoneal cancer: An NRG Oncology/Gynecologic Oncology Group study.	Progression free survival in serous epithelial ovarian cancer treated with carboplatin and paclitaxel	147 European ancestry women	NA	11p15.3	11	13492506	PTH	PTH			ENSG00000152266			rs6256-?	rs6256	0	6256	stop_gained	0	NR	1E-6	6.0		1.93		Illumina [636555]	N
2017-10-20	28935272	Moore KN	2017-09-18	Gynecol Oncol	www.ncbi.nlm.nih.gov/pubmed/28935272	Genome-wide association study evaluating single-nucleotide polymorphisms and outcomes in patients with advanced stage serous ovarian or primary peritoneal cancer: An NRG Oncology/Gynecologic Oncology Group study.	Progression free survival in serous epithelial ovarian cancer treated with carboplatin and paclitaxel	147 European ancestry women	NA	11p15.3	11	13553087	intergenic	PTH - HMGN2P36	ENSG00000152266	ENSG00000228901		56906	57276	rs10832063-?	rs10832063	0	10832063	intergenic_variant	1	NR	5E-6	5.301029995663981		1.8		Illumina [636555]	N
2017-10-20	28935272	Moore KN	2017-09-18	Gynecol Oncol	www.ncbi.nlm.nih.gov/pubmed/28935272	Genome-wide association study evaluating single-nucleotide polymorphisms and outcomes in patients with advanced stage serous ovarian or primary peritoneal cancer: An NRG Oncology/Gynecologic Oncology Group study.	Progression free survival in serous epithelial ovarian cancer treated with carboplatin and paclitaxel	147 European ancestry women	NA	11p15.3	11	13401400	BTBD10	BTBD10			ENSG00000148925			rs10500780-?	rs10500780	0	10500780	intron_variant	0	NR	5E-6	5.301029995663981		1.79		Illumina [636555]	N
2017-10-20	28935272	Moore KN	2017-09-18	Gynecol Oncol	www.ncbi.nlm.nih.gov/pubmed/28935272	Genome-wide association study evaluating single-nucleotide polymorphisms and outcomes in patients with advanced stage serous ovarian or primary peritoneal cancer: An NRG Oncology/Gynecologic Oncology Group study.	Overall survival in serous epithelial ovarian cancer treated with paclitaxel and cisplatin	289 European ancestry women	NA	10p12.1	10	26722183	PDSS1	PDSS1			ENSG00000148459			rs1564271-?	rs1564271	0	1564271	intron_variant	0	NR	9E-6	5.045757490560675		1.62		Illumina [636555]	N
2017-10-20	28935272	Moore KN	2017-09-18	Gynecol Oncol	www.ncbi.nlm.nih.gov/pubmed/28935272	Genome-wide association study evaluating single-nucleotide polymorphisms and outcomes in patients with advanced stage serous ovarian or primary peritoneal cancer: An NRG Oncology/Gynecologic Oncology Group study.	Overall survival in serous epithelial ovarian cancer treated with paclitaxel and cisplatin	289 European ancestry women	NA	11q14.1	11	78008566	intergenic	INTS4 - KCTD14	ENSG00000149262	ENSG00000151364		13895	7149	rs10899426-?	rs10899426	0	10899426	intergenic_variant	1	NR	9E-6	5.045757490560675		2.29		Illumina [636555]	N
2017-10-20	28935272	Moore KN	2017-09-18	Gynecol Oncol	www.ncbi.nlm.nih.gov/pubmed/28935272	Genome-wide association study evaluating single-nucleotide polymorphisms and outcomes in patients with advanced stage serous ovarian or primary peritoneal cancer: An NRG Oncology/Gynecologic Oncology Group study.	Overall survival in serous epithelial ovarian cancer treated with paclitaxel and cisplatin	289 European ancestry women	NA	6p25.3	6	1492427	intergenic	FOXF2 - RN7SL352P	ENSG00000137273	ENSG00000243439		96824	14895	rs4618572-?	rs4618572	0	4618572	intergenic_variant	1	NR	9E-6	5.045757490560675		1.86		Illumina [636555]	N
2017-10-20	28935272	Moore KN	2017-09-18	Gynecol Oncol	www.ncbi.nlm.nih.gov/pubmed/28935272	Genome-wide association study evaluating single-nucleotide polymorphisms and outcomes in patients with advanced stage serous ovarian or primary peritoneal cancer: An NRG Oncology/Gynecologic Oncology Group study.	Overall survival in serous epithelial ovarian cancer treated with paclitaxel and cisplatin	289 European ancestry women	NA	3q23	3	141643383	intergenic	RASA2 - LINC02618	ENSG00000155903	ENSG00000242104		28039	17153	rs295315-?	rs295315	0	295315	intergenic_variant	1	NR	8E-7	6.096910013008056		1.82		Illumina [636555]	N
2017-10-20	28935272	Moore KN	2017-09-18	Gynecol Oncol	www.ncbi.nlm.nih.gov/pubmed/28935272	Genome-wide association study evaluating single-nucleotide polymorphisms and outcomes in patients with advanced stage serous ovarian or primary peritoneal cancer: An NRG Oncology/Gynecologic Oncology Group study.	Overall survival in serous epithelial ovarian cancer treated with paclitaxel and cisplatin	289 European ancestry women	NA	10q23.1	10	80608465	SH2D4B	SH2D4B			ENSG00000178217			rs17693104-?	rs17693104	0	17693104	intron_variant	0	NR	8E-7	6.096910013008056		1.65		Illumina [636555]	N
2017-10-20	28935272	Moore KN	2017-09-18	Gynecol Oncol	www.ncbi.nlm.nih.gov/pubmed/28935272	Genome-wide association study evaluating single-nucleotide polymorphisms and outcomes in patients with advanced stage serous ovarian or primary peritoneal cancer: An NRG Oncology/Gynecologic Oncology Group study.	Overall survival in serous epithelial ovarian cancer treated with paclitaxel and cisplatin	289 European ancestry women	NA	3q23	3	141658488	LOC646730	RASA2 - LINC02618	ENSG00000155903	ENSG00000242104		43144	2048	rs868767-?	rs868767	0	868767	upstream_gene_variant	1	NR	2E-6	5.698970004336019		2.12		Illumina [636555]	N
2017-10-20	28935272	Moore KN	2017-09-18	Gynecol Oncol	www.ncbi.nlm.nih.gov/pubmed/28935272	Genome-wide association study evaluating single-nucleotide polymorphisms and outcomes in patients with advanced stage serous ovarian or primary peritoneal cancer: An NRG Oncology/Gynecologic Oncology Group study.	Overall survival in serous epithelial ovarian cancer treated with paclitaxel and cisplatin	289 European ancestry women	NA	20p11.21	20	24451198	intergenic	GAPDHP53 - SYNDIG1	ENSG00000234069	ENSG00000101463		4884	18431	rs2050203-?	rs2050203	0	2050203	intergenic_variant	1	NR	4E-6	5.3979400086720375		1.78		Illumina [636555]	N
2017-10-20	28935272	Moore KN	2017-09-18	Gynecol Oncol	www.ncbi.nlm.nih.gov/pubmed/28935272	Genome-wide association study evaluating single-nucleotide polymorphisms and outcomes in patients with advanced stage serous ovarian or primary peritoneal cancer: An NRG Oncology/Gynecologic Oncology Group study.	Overall survival in serous epithelial ovarian cancer treated with paclitaxel and cisplatin	289 European ancestry women	NA	14q32.31	14	101629499	intergenic	DIO3 - LINC02320	ENSG00000197406	ENSG00000258404		66047	4955	rs11621975-?	rs11621975	0	11621975	intron_variant	1	NR	5E-6	5.301029995663981		2.31		Illumina [636555]	N
2017-10-20	28935272	Moore KN	2017-09-18	Gynecol Oncol	www.ncbi.nlm.nih.gov/pubmed/28935272	Genome-wide association study evaluating single-nucleotide polymorphisms and outcomes in patients with advanced stage serous ovarian or primary peritoneal cancer: An NRG Oncology/Gynecologic Oncology Group study.	Overall survival in serous epithelial ovarian cancer treated with paclitaxel and cisplatin	289 European ancestry women	NA	12q23.2	12	102981636	intergenic	ASCL1 - NA	ENSG00000139352			21123		rs17548007-?	rs17548007	0	17548007	intergenic_variant	1	NR	5E-6	5.301029995663981		1.86		Illumina [636555]	N
2017-10-20	28935272	Moore KN	2017-09-18	Gynecol Oncol	www.ncbi.nlm.nih.gov/pubmed/28935272	Genome-wide association study evaluating single-nucleotide polymorphisms and outcomes in patients with advanced stage serous ovarian or primary peritoneal cancer: An NRG Oncology/Gynecologic Oncology Group study.	Overall survival in serous epithelial ovarian cancer treated with paclitaxel and cisplatin	289 European ancestry women	NA	8q21.13	8	81290982	intergenic	FABP5 - NA	ENSG00000164687			6205		rs202280-?	rs202280	0	202280	intergenic_variant	1	NR	6E-6	5.221848749616356		2.0		Illumina [636555]	N
2017-08-03	28346442	Phelan CM	2017-03-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28346442	Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.	Ovarian cancer in BRCA1 mutation carriers	2,933 European ancestry carrier cases, 16,103 European ancestry carrier controls	NA	3q25.31	3	156717851	NR	METTL15P1 - LINC00886	ENSG00000174912	ENSG00000240875		2923	29492	rs62274041-G	rs62274041	0	62274041	intergenic_variant	1	0.0481682	5E-7	6.301029995663981		1.4226197	[1.23974783491848-1.63246639995579]	Illumina [11595112] (imputed)	N
2017-08-03	28346442	Phelan CM	2017-03-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28346442	Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.	Ovarian cancer in BRCA1 mutation carriers	2,933 European ancestry carrier cases, 16,103 European ancestry carrier controls	NA	4q32.3	4	164987569	NR	TRIM61 - TRIM60	ENSG00000183439	ENSG00000176979		9901	28889	rs4691139-G	rs4691139	0	4691139	non_coding_transcript_exon_variant	1	0.467	4E-7	6.3979400086720375		1.1581223	[1.09413051760919-1.22585676557555]	Illumina [11595112] (imputed)	N
2017-08-03	28346442	Phelan CM	2017-03-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28346442	Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.	Ovarian cancer in BRCA1 mutation carriers	2,933 European ancestry carrier cases, 16,103 European ancestry carrier controls	NA	9p22.2	9	16915876	NR	BNC2 - NA	ENSG00000173068			45033		rs10962692-G	rs10962692	0	10962692	intergenic_variant	1	0.799624	1E-14	14.0		1.3346913	[1.24035297950519-1.43620468676761]	Illumina [11595112] (imputed)	N
2017-08-03	28346442	Phelan CM	2017-03-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28346442	Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.	Ovarian cancer in BRCA1 mutation carriers	2,933 European ancestry carrier cases, 16,103 European ancestry carrier controls	NA	17q21.31	17	45489971	NR	PLEKHM1, PLEKHM1, PLEKHM1			ENSG00000276358, ENSG00000225190, ENSG00000277111			rs1879586-G	rs1879586	0	1879586	intron_variant	0	0.181254	7E-6	5.154901959985743		1.1804551	[1.0983093028467-1.26874471717965]	Illumina [11595112] (imputed)	N
2017-08-03	28346442	Phelan CM	2017-03-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28346442	Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.	Invasive epithelial ovarian cancer	22,406 European ancestry cases, 40,941 European ancestry controls	NA	2q31.1	2	176172583	NR	HAGLR, HOXD3			ENSG00000224189, ENSG00000128652			rs711830-A	rs711830	0	711830	3_prime_UTR_variant	0	0.319015999999999	4E-14	13.397940008672037		1.1120843	[1.08193543636327-1.14307327686388]	Illumina [11595112] (imputed)	N
2017-08-03	28346442	Phelan CM	2017-03-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28346442	Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.	Invasive epithelial ovarian cancer	22,406 European ancestry cases, 40,941 European ancestry controls	NA	2q31.1	2	176178498	NR	HAGLROS, HAGLR			ENSG00000226363, ENSG00000224189			rs6755777-T	rs6755777	0	6755777	non_coding_transcript_exon_variant	0	0.319447	4E-14	13.397940008672037		1.1121821	[1.0819829343715-1.14322428681774]	Illumina [11595112] (imputed)	N
2017-08-03	28346442	Phelan CM	2017-03-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28346442	Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.	Invasive epithelial ovarian cancer	22,406 European ancestry cases, 40,941 European ancestry controls	NA	3q25.31	3	156717851	NR	METTL15P1 - LINC00886	ENSG00000174912	ENSG00000240875		2923	29492	rs62274041-G	rs62274041	0	62274041	intergenic_variant	1	0.0481682	5E-38	37.30102999566398		1.4494933	[1.3698151996842-1.53380589540381]	Illumina [11595112] (imputed)	N
2017-08-03	28346442	Phelan CM	2017-03-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28346442	Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.	Invasive epithelial ovarian cancer	22,406 European ancestry cases, 40,941 European ancestry controls	NA	4q26	4	119028805	NR	SYNPO2			ENSG00000172403			rs17329882-C	rs17329882	0	17329882	intron_variant	0	0.241	3E-6	5.522878745280337		1.07509	[1.0431816063-1.1079744406]	Illumina [11595112] (imputed)	N
2017-08-03	28346442	Phelan CM	2017-03-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28346442	Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.	Invasive epithelial ovarian cancer	22,406 European ancestry cases, 40,941 European ancestry controls	NA	5p15.33	5	1279675	NR	TERT			ENSG00000164362			rs10069690-T	rs10069690	0	10069690	intron_variant	0	0.259806	3E-8	7.522878745280337		1.0865872	[1.05501477967445-1.11910451351639]	Illumina [11595112] (imputed)	N
