DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2020-12-01	27432226	Kar SP	2016-07-17	Cancer Discov	www.ncbi.nlm.nih.gov/pubmed/27432226	Genome-Wide Meta-Analyses of Breast, Ovarian, and Prostate Cancer Association Studies Identify Multiple New Susceptibility Loci Shared by at Least Two Cancer Types.	Breast cancer, ovarian cancer or prostate cancer (pleiotropy)	62,533 European ancestry breast cancer female cases, 60,976 European ancestry controls, 15,437 European ancestry invasive epithelial ovarian cancer female cases, 30,845 European ancestry controls, 34,379 European ancestry prostate cancer male cases, 33,164 European ancestry controls	NA	1p36.13	1	16013277	HSPB7	SRARP - HSPB7	ENSG00000183888	ENSG00000173641		4470	751	rs1763604-C	rs1763604	0	1763604	downstream_gene_variant	1	0.42085	7E-9	8.154901959985743		0.0372	[0.025-0.05] unit decrease	Illumina [NR]	N
2020-12-01	27432226	Kar SP	2016-07-17	Cancer Discov	www.ncbi.nlm.nih.gov/pubmed/27432226	Genome-Wide Meta-Analyses of Breast, Ovarian, and Prostate Cancer Association Studies Identify Multiple New Susceptibility Loci Shared by at Least Two Cancer Types.	Breast cancer, ovarian cancer or prostate cancer (pleiotropy)	62,533 European ancestry breast cancer female cases, 60,976 European ancestry controls, 15,437 European ancestry invasive epithelial ovarian cancer female cases, 30,845 European ancestry controls, 34,379 European ancestry prostate cancer male cases, 33,164 European ancestry controls	NA	1q21.3	1	155016057	ZBTB7B	ZBTB7B			ENSG00000160685			rs77548871-C	rs77548871	0	77548871	intron_variant	0	0.0472	5E-9	8.301029995663981		0.0991	[0.066-0.132] unit decrease	Illumina [NR]	N
2020-12-01	27432226	Kar SP	2016-07-17	Cancer Discov	www.ncbi.nlm.nih.gov/pubmed/27432226	Genome-Wide Meta-Analyses of Breast, Ovarian, and Prostate Cancer Association Studies Identify Multiple New Susceptibility Loci Shared by at Least Two Cancer Types.	Breast cancer, ovarian cancer or prostate cancer (pleiotropy)	62,533 European ancestry breast cancer female cases, 60,976 European ancestry controls, 15,437 European ancestry invasive epithelial ovarian cancer female cases, 30,845 European ancestry controls, 34,379 European ancestry prostate cancer male cases, 33,164 European ancestry controls	NA	2p11.2	2	85573959	NR	VAMP8			ENSG00000118640			rs13007211-A	rs13007211	0	13007211	intron_variant	0	0.6935	1E-9	9.0		0.0432	[0.029-0.057] unit increase	Illumina [NR]	N
2020-12-01	27432226	Kar SP	2016-07-17	Cancer Discov	www.ncbi.nlm.nih.gov/pubmed/27432226	Genome-Wide Meta-Analyses of Breast, Ovarian, and Prostate Cancer Association Studies Identify Multiple New Susceptibility Loci Shared by at Least Two Cancer Types.	Breast cancer, ovarian cancer or prostate cancer (pleiotropy)	62,533 European ancestry breast cancer female cases, 60,976 European ancestry controls, 15,437 European ancestry invasive epithelial ovarian cancer female cases, 30,845 European ancestry controls, 34,379 European ancestry prostate cancer male cases, 33,164 European ancestry controls	NA	2q13	2	111138666	BCL2L11	BCL2L11, MIR4435-2HG			ENSG00000153094, ENSG00000172965			rs17041869-A	rs17041869	0	17041869	intron_variant	0	0.8804	2E-9	8.698970004336019		0.0571	[0.038-0.076] unit decrease	Illumina [NR]	N
2020-12-01	27432226	Kar SP	2016-07-17	Cancer Discov	www.ncbi.nlm.nih.gov/pubmed/27432226	Genome-Wide Meta-Analyses of Breast, Ovarian, and Prostate Cancer Association Studies Identify Multiple New Susceptibility Loci Shared by at Least Two Cancer Types.	Breast cancer, ovarian cancer or prostate cancer (pleiotropy)	62,533 European ancestry breast cancer female cases, 60,976 European ancestry controls, 15,437 European ancestry invasive epithelial ovarian cancer female cases, 30,845 European ancestry controls, 34,379 European ancestry prostate cancer male cases, 33,164 European ancestry controls	NA	4q24	4	105137029	TET2	NA - TET2		ENSG00000168769			8846	rs57251748-CT	rs57251748	0	57251748	regulatory_region_variant	1	0.15	9E-12	11.045757490560675		0.0598	[0.043-0.077] unit decrease	Illumina [NR]	N
2020-12-01	27432226	Kar SP	2016-07-17	Cancer Discov	www.ncbi.nlm.nih.gov/pubmed/27432226	Genome-Wide Meta-Analyses of Breast, Ovarian, and Prostate Cancer Association Studies Identify Multiple New Susceptibility Loci Shared by at Least Two Cancer Types.	Breast cancer, ovarian cancer or prostate cancer (pleiotropy)	62,533 European ancestry breast cancer female cases, 60,976 European ancestry controls, 15,437 European ancestry invasive epithelial ovarian cancer female cases, 30,845 European ancestry controls, 34,379 European ancestry prostate cancer male cases, 33,164 European ancestry controls	NA	7p15.1	7	27950149	JAZF1	JAZF1			ENSG00000153814			rs739704-A	rs739704	0	739704	intron_variant	0	0.2515	3E-14	13.522878745280337		0.0542	[0.04-0.068] unit decrease	Illumina [NR]	N
2020-12-01	27432226	Kar SP	2016-07-17	Cancer Discov	www.ncbi.nlm.nih.gov/pubmed/27432226	Genome-Wide Meta-Analyses of Breast, Ovarian, and Prostate Cancer Association Studies Identify Multiple New Susceptibility Loci Shared by at Least Two Cancer Types.	Breast cancer, ovarian cancer or prostate cancer (pleiotropy)	62,533 European ancestry breast cancer female cases, 60,976 European ancestry controls, 15,437 European ancestry invasive epithelial ovarian cancer female cases, 30,845 European ancestry controls, 34,379 European ancestry prostate cancer male cases, 33,164 European ancestry controls	NA	7q35	7	144377836	ARHGEF5	ARHGEF5, ARHGEF5			ENSG00000050327, ENSG00000284933			rs720475-A	rs720475	0	720475	intron_variant	0	0.25455	7E-12	11.154901959985743		0.0495	[0.035-0.064] unit decrease	Illumina [NR]	N
2020-12-01	27432226	Kar SP	2016-07-17	Cancer Discov	www.ncbi.nlm.nih.gov/pubmed/27432226	Genome-Wide Meta-Analyses of Breast, Ovarian, and Prostate Cancer Association Studies Identify Multiple New Susceptibility Loci Shared by at Least Two Cancer Types.	Breast cancer, ovarian cancer or prostate cancer (pleiotropy)	62,533 European ancestry breast cancer female cases, 60,976 European ancestry controls, 15,437 European ancestry invasive epithelial ovarian cancer female cases, 30,845 European ancestry controls, 34,379 European ancestry prostate cancer male cases, 33,164 European ancestry controls	NA	8q24.21	8	126990792	PCAT1/PCAT2	PCAT1			ENSG00000253438			rs17762342-A	rs17762342	0	17762342	intron_variant	0	0.7935	2E-15	14.698970004336019		0.061	[0.046-0.076] unit increase	Illumina [NR]	N
2020-12-01	27432226	Kar SP	2016-07-17	Cancer Discov	www.ncbi.nlm.nih.gov/pubmed/27432226	Genome-Wide Meta-Analyses of Breast, Ovarian, and Prostate Cancer Association Studies Identify Multiple New Susceptibility Loci Shared by at Least Two Cancer Types.	Breast cancer, ovarian cancer or prostate cancer (pleiotropy)	62,533 European ancestry breast cancer female cases, 60,976 European ancestry controls, 15,437 European ancestry invasive epithelial ovarian cancer female cases, 30,845 European ancestry controls, 34,379 European ancestry prostate cancer male cases, 33,164 European ancestry controls	NA	8q24.21	8	128187668	MIR1208/PVT1	PVT1 - RN7SKP226	ENSG00000249859	ENSG00000201782		567	32836	rs3802173-T	rs3802173	0	3802173	intergenic_variant	1	0.2261	3E-11	10.522878745280337		0.0521	[0.037-0.068] unit increase	Illumina [NR]	N
2020-12-01	27432226	Kar SP	2016-07-17	Cancer Discov	www.ncbi.nlm.nih.gov/pubmed/27432226	Genome-Wide Meta-Analyses of Breast, Ovarian, and Prostate Cancer Association Studies Identify Multiple New Susceptibility Loci Shared by at Least Two Cancer Types.	Breast cancer, ovarian cancer or prostate cancer (pleiotropy)	62,533 European ancestry breast cancer female cases, 60,976 European ancestry controls, 15,437 European ancestry invasive epithelial ovarian cancer female cases, 30,845 European ancestry controls, 34,379 European ancestry prostate cancer male cases, 33,164 European ancestry controls	NA	9p21.3	9	21956231	CDKN2A/CDKN2B	MTAP - CDKN2A-DT	ENSG00000099810	ENSG00000224854		18580	10698	rs9657608-T	rs9657608	0	9657608	intron_variant	1	0.0923	1E-10	10.0		0.0685	[0.048-0.089] unit increase	Illumina [NR]	N
